StatusAccount__A11,StatusAccount__A12,StatusAccount__A13,StatusAccount__A14,DurationMonth,CreditHistory__A30,CreditHistory__A31,CreditHistory__A32,CreditHistory__A33,CreditHistory__A34,Purpose__A40,Purpose__A41,Purpose__A410,Purpose__A42,Purpose__A43,Purpose__A44,Purpose__A45,Purpose__A46,Purpose__A48,Purpose__A49,CreditAmount,SavingsAccount__A61,SavingsAccount__A62,SavingsAccount__A63,SavingsAccount__A64,SavingsAccount__A65,EmploymentSince__A71,EmploymentSince__A72,EmploymentSince__A73,EmploymentSince__A74,EmploymentSince__A75,InstallmentRate,StatusAndSex__A91,StatusAndSex__A92,StatusAndSex__A93,StatusAndSex__A94,Guarantors__A101,Guarantors__A102,Guarantors__A103,ResidenceSince,Property__A121,Property__A122,Property__A123,Property__A124,Age,InstallmentPlans__A141,InstallmentPlans__A142,InstallmentPlans__A143,Housing__A151,Housing__A152,Housing__A153,NCredits,Job__A171,Job__A172,Job__A173,Job__A174,NPeopleMain,Telephone__A191,Telephone__A192,ForeignWorker__A201,ForeignWorker__A202,Customer
1,0,0,0,-1.2364778603818776,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-0.7451314133870965,0,0,0,0,1,0,0,0,0,1,0.9184771676276685,0,0,1,0,1,0,0,1.0469866784197936,1,0,0,0,2.7664564848025224,0,0,1,0,1,0,1.0270789116578085,0,0,1,0,-0.4282895663715403,0,1,1,0,1
0,1,0,0,2.2481943623946683,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.9498167893630398,1,0,0,0,0,0,0,1,0,0,-0.8701833340815202,0,1,0,0,1,0,0,-0.7659772668958666,1,0,0,0,-1.1914039404570154,0,0,1,0,1,0,-0.7049259983890862,0,0,1,0,-0.4282895663715403,1,0,1,0,2
0,0,0,1,-0.738667542842371,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.4165624079606272,1,0,0,0,0,0,0,0,1,0,-0.8701833340815202,0,0,1,0,1,0,0,0.1405047057619635,1,0,0,0,1.1833123146987072,0,0,1,0,1,0,-0.7049259983890862,0,1,0,0,2.3348689263480744,1,0,1,0,1
1,0,0,0,1.7503840448551617,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.6342469398252968,1,0,0,0,0,0,0,0,1,0,-0.8701833340815202,0,0,1,0,0,0,1,1.0469866784197936,0,1,0,0,0.8315024991200816,0,0,1,0,0,1,-0.7049259983890862,0,0,1,0,2.3348689263480744,1,0,1,0,1
1,0,0,0,0.2569530922366421,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.5666635047179337,1,0,0,0,0,0,0,1,0,0,0.024146916773074168,0,0,1,0,1,0,0,1.0469866784197936,0,0,0,1,1.5351221302773328,0,0,1,0,0,1,1.0270789116578085,0,0,1,0,2.3348689263480744,1,0,1,0,2
0,0,0,1,1.2525737273156552,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.0500090146529653,0,0,0,0,1,0,0,1,0,0,-0.8701833340815202,0,0,1,0,1,0,0,1.0469866784197936,0,0,0,1,-0.048022039826482336,0,0,1,0,0,1,-0.7049259983890862,0,1,0,0,2.3348689263480744,0,1,1,0,1
0,0,0,1,0.2569530922366421,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.15462875638548068,0,0,1,0,0,0,0,0,0,1,0.024146916773074168,0,0,1,0,1,0,0,1.0469866784197936,0,1,0,0,1.5351221302773328,0,0,1,0,1,0,-0.7049259983890862,0,0,1,0,-0.4282895663715403,1,0,1,0,1
0,0,0,1,-0.738667542842371,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-0.07523344115837267,0,0,0,1,0,0,0,0,1,0,-0.8701833340815202,1,0,0,0,1,0,0,1.0469866784197936,1,0,0,0,2.238741761434584,0,0,1,0,1,0,-0.7049259983890862,0,1,0,0,-0.4282895663715403,1,0,1,0,1
0,1,0,0,0.7547634097761486,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.6956808919619842,1,0,0,0,0,1,0,0,0,0,0.9184771676276685,0,0,0,1,1,0,0,-0.7659772668958666,0,0,1,0,-0.6636892170890771,0,0,1,0,1,0,1.0270789116578085,0,0,0,1,-0.4282895663715403,1,0,1,0,2
0,1,0,0,-0.738667542842371,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-0.60406295151036,1,0,0,0,0,0,0,1,0,0,-1.7645135849361147,0,1,0,0,1,0,0,-1.6724592395536968,0,0,1,0,-1.1914039404570154,0,0,1,0,1,0,-0.7049259983890862,0,0,1,0,-0.4282895663715403,0,1,1,0,1
1,0,0,0,-0.4897623840726178,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-0.6621916644444926,1,0,0,0,0,0,0,1,0,0,-0.8701833340815202,0,1,0,0,1,0,0,1.0469866784197936,0,0,1,0,-0.6636892170890771,0,0,1,1,0,0,-0.7049259983890862,0,0,1,0,-0.4282895663715403,1,0,1,0,1
1,0,0,0,0.2569530922366421,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-0.705079312401993,0,1,0,0,0,0,0,1,0,0,0.9184771676276685,0,1,0,0,1,0,0,-0.7659772668958666,0,0,1,0,-0.3118794015104515,0,0,1,0,1,0,-0.7049259983890862,0,1,0,0,-0.4282895663715403,1,0,1,0,2
0,0,0,1,0.2569530922366421,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-0.30030498209236195,0,0,0,0,1,0,0,0,0,1,0.9184771676276685,0,0,1,0,1,0,0,1.0469866784197936,0,1,0,0,1.5351221302773328,0,0,1,0,1,0,1.0270789116578085,0,0,1,0,-0.4282895663715403,1,0,1,0,1
1,0,0,0,0.7547634097761486,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.7015911804197188,0,0,0,0,1,0,1,0,0,0,-0.8701833340815202,0,0,1,0,1,0,0,0.1405047057619635,0,0,1,0,-0.9275465787730462,1,0,0,0,1,0,2.7590838217047033,0,0,1,0,-0.4282895663715403,1,0,1,0,1
0,1,0,0,0.2569530922366421,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3.2990674559937183,1,0,0,0,0,0,0,0,0,1,0.9184771676276685,0,1,0,0,1,0,0,-0.7659772668958666,0,0,0,1,0.7435500452254252,0,0,1,0,0,1,-0.7049259983890862,0,0,0,1,-0.4282895663715403,0,1,1,0,2
0,0,0,1,-0.9875727016121243,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-0.40309355984174283,1,0,0,0,0,0,0,1,0,0,0.9184771676276685,0,0,1,0,1,0,0,1.0469866784197936,0,0,1,0,1.0953598608040507,0,0,1,0,1,0,2.7590838217047033,0,0,1,0,-0.4282895663715403,0,1,1,0,1
